,Heading,Revewe,URL,price,image
0,Linkedin Marketing Course,9064,https://www.learnvern.com/linkedin-marketing-course,,https://assets.learnvern.com/course/icons/54851.svg
1,Facebook Marketing in Tamil,2421,https://www.learnvern.com/facebook-marketing-course-in-tamil,,https://assets.learnvern.com/course/icons/68701.svg
2,Social Media Marketing Course in English,8210,https://www.learnvern.com/social-media-marketing-course,,https://assets.learnvern.com/course/icons/12086.svg
3,Complete Instagram Marketing Master Course in English,8344,https://www.learnvern.com/instagram-marketing-course,,https://assets.learnvern.com/course/icons/21288.svg
4,Digital Marketing,272300,https://www.learnvern.com/live-course/digital-marketing-course,,https://assets.learnvern.com/course/icons/82249.svg
5,SEO 2022 - Beginners to Advance in English,12523,https://www.learnvern.com/seo-course,,https://assets.learnvern.com/course/icons/67851.svg
6,Effective Communication in Sales in English,6377,https://www.learnvern.com/sales-communication-course,,https://assets.learnvern.com/course/icons/68047.svg
7,Complete Instagram Marketing Master Course,40137,https://www.learnvern.com/instagram-marketing-course-in-hindi,,https://assets.learnvern.com/course/icons/40439.svg
8,Facebook Marketing in English,3079,https://www.learnvern.com/facebook-marketing-course,,https://assets.learnvern.com/course/icons/67129.svg
9,Social Media Marketing Course,28945,https://www.learnvern.com/course/social-media-marketing-course-in-hindi,,https://assets.learnvern.com/course/icons/88871.svg
10,Digital Marketing Course,272300,https://www.learnvern.com/course/digital-marketing-tutorial,,https://assets.learnvern.com/course/icons/60245.svg
11,SEO 2022 - Beginners to Advance,22619,https://www.learnvern.com/course/seo-course-in-hindi,,https://assets.learnvern.com/course/icons/81697.svg
12,Facebook Marketing,18713,https://www.learnvern.com/course/facebook-marketing-course-in-hindi,,https://assets.learnvern.com/course/icons/25972.svg
13,Effective Communication in Sales,15750,https://www.learnvern.com/course/sales-communication-course-in-hindi,,https://assets.learnvern.com/course/icons/70670.svg
